TslName,Address,Offset,Size,Supported,JumpToNext
fx2_pitch_shifter_direct_mix,04 4F,591,1,1,1
fx2_harmonist_voice,04 51,593,1,1,0
fx2_harmonist_hr1harm,04 52,594,1,1,0
fx2_harmonist_hr1pre_dly,04 53,595,2,1,0
fx2_harmonist_hr1level,04 55,597,1,1,0
fx2_harmonist_hr2harm,04 56,598,1,1,0
fx2_harmonist_hr2pre_dly,04 57,599,2,1,0
fx2_harmonist_hr2level,04 59,601,1,1,0
fx2_harmonist_hr1f_back,04 5A,602,1,1,0
fx2_harmonist_direct_mix,04 5B,603,1,1,0
fx2_harmonist_hr1c,04 5C,604,1,1,0
fx2_harmonist_hr1db,04 5D,605,1,1,0
fx2_harmonist_hr1d,04 5E,606,1,1,0
fx2_harmonist_hr1eb,04 5F,607,1,1,0
fx2_harmonist_hr1e,04 60,608,1,1,0
fx2_harmonist_hr1f,04 61,609,1,1,0
fx2_harmonist_hr1f_s,04 62,610,1,1,0
fx2_harmonist_hr1g,04 63,611,1,1,0
fx2_harmonist_hr1ab,04 64,612,1,1,0
fx2_harmonist_hr1a,04 65,613,1,1,0
fx2_harmonist_hr1bb,04 66,614,1,1,0
fx2_harmonist_hr1b,04 67,615,1,1,0
fx2_harmonist_hr2c,04 68,616,1,1,0
fx2_harmonist_hr2db,04 69,617,1,1,0
fx2_harmonist_hr2d,04 6A,618,1,1,0
fx2_harmonist_hr2eb,04 6B,619,1,1,0
fx2_harmonist_hr2e,04 6C,620,1,1,0
fx2_harmonist_hr2f,04 6D,621,1,1,0
fx2_harmonist_hr2f_s,04 6E,622,1,1,0
fx2_harmonist_hr2g,04 6F,623,1,1,0
fx2_harmonist_hr2ab,04 70,624,1,1,0
fx2_harmonist_hr2a,04 71,625,1,1,0
fx2_harmonist_hr2bb,04 72,626,1,1,0
fx2_harmonist_hr2b,04 73,627,1,1,1
fx2_sound_hold_hold,04 75,629,1,1,0
fx2_sound_hold_rise_time,04 76,630,1,1,0
fx2_sound_hold_effect_level,04 77,631,1,1,1
fx2_ac_processor_type,04 79,633,1,1,0
fx2_ac_processor_bass,04 7A,634,1,1,0
fx2_ac_processor_middle,04 7B,635,1,1,0
fx2_ac_processor_middle_freq,04 7C,636,1,1,0
fx2_ac_processor_treble,04 7D,637,1,1,0
fx2_ac_processor_presence,04 7E,638,1,1,0
fx2_ac_processor_level,04 7F,639,1,1,1
fx2_phaser_type,05 01,641,1,1,0
fx2_phaser_rate,05 02,642,1,1,0
fx2_phaser_depth,05 03,643,1,1,0
fx2_phaser_manual,05 04,644,1,1,0
fx2_phaser_reso,05 05,645,1,1,0
fx2_phaser_step_rate,05 06,646,1,1,0
fx2_phaser_effect_level,05 07,647,1,1,0
fx2_phaser_direct_mix,05 08,648,1,1,1
fx2_flanger_rate,05 0A,650,1,1,0
fx2_flanger_depth,05 0B,651,1,1,0
fx2_flanger_manual,05 0C,652,1,1,0
fx2_flanger_reso,05 0D,653,1,1,0
fx2_flanger_separation,05 0E,654,1,1,0
fx2_flanger_low_cut,05 0F,655,1,1,0
fx2_flanger_effect_level,05 10,656,1,1,0
fx2_flanger_direct_mix,05 11,657,1,1,1
fx2_tremolo_wave_shape,05 13,659,1,1,0
fx2_tremolo_rate,05 14,660,1,1,0
fx2_tremolo_depth,05 15,661,1,1,0
fx2_tremolo_level,05 16,662,1,1,1
fx2_rotary_speed_select,05 18,664,1,1,0
fx2_rotary_rate_slow,05 19,665,1,1,0
fx2_rotary_rate_fast,05 1A,666,1,1,0
fx2_rotary_rise_time,05 1B,667,1,1,0
fx2_rotary_fall_time,05 1C,668,1,1,0
fx2_rotary_depth,05 1D,669,1,1,0
fx2_rotary_level,05 1E,670,1,1,1
fx2_uni_v_rate,05 20,672,1,1,0
fx2_uni_v_depth,05 21,673,1,1,0
fx2_uni_v_level,05 22,674,1,1,1
fx2_pan_type,05 24,676,1,1,0
fx2_pan_pos,05 25,677,1,1,0
fx2_pan_wave_shape,05 26,678,1,1,0
fx2_pan_rate,05 27,679,1,1,0
fx2_pan_depth,05 28,680,1,1,0
fx2_pan_level,05 29,681,1,1,1
fx2_slicer_pattern,05 2B,683,1,1,0
fx2_slicer_rate,05 2C,684,1,1,0
fx2_slicer_trigger_sens,05 2D,685,1,1,0
fx2_slicer_effect_level,05 2E,686,1,1,0
fx2_slicer_direct_mix,05 2F,687,1,1,1
fx2_vibrato_rate,05 31,689,1,1,0
fx2_vibrato_depth,05 32,690,1,1,0
fx2_vibrato_trigger,05 33,691,1,1,0
fx2_vibrato_rise_time,05 34,692,1,1,0
fx2_vibrato_level,05 35,693,1,1,1
fx2_ring_mod_mode,05 37,695,1,1,0
fx2_ring_mod_freq,05 38,696,1,1,0
fx2_ring_mod_effect_level,05 39,697,1,1,0
fx2_ring_mod_direct_mix,05 3A,698,1,1,1
fx2_humanizer_mode,05 3C,700,1,1,0
fx2_humanizer_vowel1,05 3D,701,1,1,0
fx2_humanizer_vowel2,05 3E,702,1,1,0
fx2_humanizer_sens,05 3F,703,1,1,0
fx2_humanizer_rate,05 40,704,1,1,0
fx2_humanizer_depth,05 41,705,1,1,0
fx2_humanizer_manual,05 42,706,1,1,0
fx2_humanizer_level,05 43,707,1,1,1
fx2_2x2_chorus_xover_freq,05 45,709,1,1,0
fx2_2x2_chorus_low_rate,05 46,710,1,1,0
fx2_2x2_chorus_low_depth,05 47,711,1,1,0
fx2_2x2_chorus_low_pre_delay,05 48,712,1,1,0
fx2_2x2_chorus_low_level,05 49,713,1,1,0
fx2_2x2_chorus_high_rate,05 4A,714,1,1,0
fx2_2x2_chorus_high_depth,05 4B,715,1,1,0
fx2_2x2_chorus_high_pre_delay,05 4C,716,1,1,0
fx2_2x2_chorus_high_level,05 4D,717,1,1,0
fx2_2x2_chorus_direct_level,05 4E,718,1,1,0
fx2_sub_delay_type,05 4F,719,1,1,0
fx2_sub_delay_time,05 50,720,2,1,0
fx2_sub_delay_f_back,05 52,722,1,1,0
fx2_sub_delay_high_cut,05 53,723,1,1,0
fx2_sub_delay_effect_level,05 54,724,1,1,0
fx2_sub_delay_direct_mix,05 55,725,1,1,0
fx2_sub_delay_tap_time,05 56,726,1,1,9
delay_on_off,05 60,736,1,1,0
delay_type,05 61,737,1,1,0
delay_delay_time,05 62,738,2,1,0
delay_f_back,05 64,740,1,1,0
delay_high_cut,05 65,741,1,1,0
delay_effect_level,05 66,742,1,1,0
delay_direct_mix,05 67,743,1,1,0
delay_tap_time,05 68,744,1,1,0
delay_d1_time,05 69,745,2,1,0
delay_d1_f_back,05 6B,747,1,1,0
delay_d1_hi_cut,05 6C,748,1,1,0
delay_d1_level,05 6D,749,1,1,0
delay_d2_time,05 6E,750,2,1,0
delay_d2_f_back,05 70,752,1,1,0
delay_d2_hi_cut,05 71,753,1,1,0
delay_d2_level,05 72,754,1,1,0
delay_mod_rate,05 73,755,1,1,0
delay_mod_depth,05 74,756,1,1,11
chorus_on_off,06 00,768,1,0,0
chorus_mode,06 01,769,1,0,0
chorus_rate,06 02,770,1,0,0
chorus_depth,06 03,771,1,0,0
chorus_pre_delay,06 04,772,1,0,0
chorus_low_cut,06 05,773,1,0,0
chorus_high_cut,06 06,774,1,0,0
chorus_effect_level,06 07,775,1,0,0
chorus_direct_level,06 08,776,1,0,7
reverb_on_off,06 10,784,1,1,0
reverb_type,06 11,785,1,1,0
reverb_time,06 12,786,1,1,0
reverb_pre_delay,06 13,787,2,1,0
reverb_low_cut,06 15,789,1,1,0
reverb_high_cut,06 16,790,1,1,0
reverb_density,06 17,791,1,1,0
reverb_effect_level,06 18,792,1,1,0
reverb_direct_mix,06 19,793,1,1,0
reverb_spring_sens,06 1A,794,1,1,5
pedal_fx_on_off,06 20,800,1,0,1
pedal_fx_pedal_bend_pitch,06 22,802,1,0,0
pedal_fx_pedal_bend_position,06 23,803,1,0,0
pedal_fx_pedal_bend_effect_level,06 24,804,1,0,0
pedal_fx_pedal_bend_direct_mix,06 25,805,1,0,0
pedal_fx_wah_type,06 26,806,1,0,0
pedal_fx_wah_position,06 27,807,1,0,0
pedal_fx_wah_pedal_min,06 28,808,1,0,0
pedal_fx_wah_pedal_max,06 29,809,1,0,0
pedal_fx_wah_effect_level,06 2A,810,1,0,0
pedal_fx_wah_direct_mix,06 2B,811,1,0,4
foot_volume_volume_curve,06 30,816,1,0,0
foot_volume_volume_min,06 31,817,1,0,0
foot_volume_volume_max,06 32,818,1,0,0
foot_volume_level,06 33,819,1,1,12
divider_mode,06 40,832,1,0,0
divider_ch_select,06 41,833,1,0,0
divider_ch_a_dynamic,06 42,834,1,0,0
divider_ch_a_dynamic_sens,06 43,835,1,0,0
divider_ch_a_filter,06 44,836,1,0,0
divider_ch_a_cutoff_freq,06 45,837,1,0,0
divider_ch_b_dynamic,06 46,838,1,0,0
divider_ch_b_dynamic_sens,06 47,839,1,0,0
divider_ch_b_filter,06 48,840,1,0,0
divider_ch_b_cutoff_freq,06 49,841,1,0,6
mixer_mode,06 50,848,1,0,0
mixer_ch_a_b_balance,06 51,849,1,0,0
mixer_spread,06 52,850,1,0,2
send_return_on_off,06 55,853,1,1,0
send_return_mode,06 56,854,1,1,0
send_return_send_level,06 57,855,1,1,0
send_return_return_level,06 58,856,1,1,7
amp_control,06 60,864,1,0,2
ns1_on_off,06 63,867,1,1,0
ns1_threshold,06 64,868,1,1,0
ns1_release,06 65,869,1,1,0
ns1_detect,06 66,870,1,1,1
